,Ticker,Co Web Address
315,CFG US Equity,www.citizensbank.com
316,CTXS US Equity,www.citrix.com
317,CKHUY US Equity,www.ckh.com.hk
318,CKISY US Equity,www.cki.com.hk
319,CLVT US Equity,www.clarivate.com
320,CLF US Equity,www.clevelandcliffs.com
321,NET US Equity,www.cloudflare.com
322,CLPHY US Equity,www.clpgroup.com
323,CLR US Equity,www.clr.com
324,CLPXY US Equity,www.clypg.com.cn
325,CMAKY US Equity,www.cmbc.com.cn
326,CIHKY US Equity,www.cmbchina.com
327,CMCSA US Equity,www.cmcsa.com
328,CMS US Equity,www.cmsenergy.com
329,CNA US Equity,www.cna.com
330,CBUMY US Equity,www.cnbmltd.com
331,CNHI US Equity,www.cnhindustrial.com
332,CNPAY US Equity,www.cnp.fr
333,KO US Equity,www.coca-colacompany.com
334,KOF US Equity,www.coca-colafemsa.com
335,CCHGY US Equity,www.coca-colahellenic.com
336,CCEP US Equity,www.cocacolaep.com
337,CHEOY US Equity,www.cochlear.com
338,CGNX US Equity,www.cognex.com
339,CTSH US Equity,www.cognizant.com
340,CL US Equity,www.colgatepalmolive.com
341,CAOVY US Equity,www.coli.com.hk
342,CLPBY US Equity,www.coloplast.com
343,CMWAY US Equity,www.commbank.com.au
344,CMPGY US Equity,www.compass-group.com
345,CAG US Equity,www.conagrabrands.com
346,AHCHY US Equity,www.conch.cn
347,CFLT US Equity,www.confluent.io
348,COP US Equity,www.conocophillips.com
349,CTTAY US Equity,www.continental.com
350,COO US Equity,www.coopercos.com
351,CPRT US Equity,www.copart.com
352,GLW US Equity,www.corning.com
353,T US Equity,www.corp.att.com/worldwide
354,MTHRY US Equity,www.corporate.m3.com/
355,MAOGY US Equity,www.corporate.man.eu
356,MAGOY US Equity,www.corporate.man.eu
357,CTVA US Equity,www.corteva.com
358,CSGP US Equity,www.costargroup.com
359,COST US Equity,www.costco.com
360,CTRYY US Equity,www.countrygarden.com.cn
361,COUP US Equity,www.coupa.com
362,COVTY US Equity,www.covestro.com
363,CPPCY US Equity,www.cpall.co.th
364,CHPXY US Equity,www.cpic.com.cn
365,CRPJY US Equity,www.cr-power.com
366,CRHKY US Equity,www.crbeer.com.hk
367,CGASY US Equity,www.crcgas.com
368,BAP US Equity,www.credicorpnet.com
369,CRARY US Equity,www.credit-agricole.com
370,CRH US Equity,www.crh.com
371,CRL US Equity,www.criver.com
372,CRBJY US Equity,www.crland.com.hk
373,COIHY US Equity,www.croda.com
374,CRWD US Equity,www.crowdstrike.com
375,CCI US Equity,www.crowncastle.com
376,CCK US Equity,www.crowncork.com
377,ZNH US Equity,www.csair.com
378,CSLLY US Equity,www.csl.com.au
379,CSX US Equity,www.csx.com
380,CUBE US Equity,www.cubesmart.com
381,CMI US Equity,www.cummins.com
382,CVAC US Equity,www.curevac.com
383,CVS US Equity,www.cvshealth.com
384,DLICY US Equity,www.dai-ichi-life.co.jp
385,DFKCY US Equity,www.daifuku.co.jp/english/index.html
386,DSNKY US Equity,www.daiichisankyo.co.jp
387,DKILY US Equity,www.daikin.co.jp
388,DMLRY US Equity,www.daimler.com
389,DWAHY US Equity,www.daiwahouse.co.jp
390,DHR US Equity,www.danaher.com
391,DANOY US Equity,www.danone.com
392,DNKEY US Equity,www.danskebank.com
393,DRI US Equity,www.darden.com
394,DAR US Equity,www.darlingii.com
395,DDOG US Equity,www.datadoghq.com
396,DVA US Equity,www.davita.com
397,DBSDY US Equity,www.dbs.com
398,ROST US Equity,www.ddsdiscounts.com
399,DECK US Equity,www.deckers.com
400,DE US Equity,www.deere.com
401,DELL US Equity,www.dell.com
402,DAL US Equity,www.delta.com
403,WILYY US Equity,www.demant.com
404,XRAY US Equity,www.dentsplysirona.com
405,DTCWY US Equity,www.deutsche-wohnen.com
406,DVN US Equity,www.devonenergy.com
407,DXCM US Equity,www.dexcom.com
408,DEO US Equity,www.diageo.com
409,FANG US Equity,www.diamondbackenergy.com
410,DKS US Equity,www.dickssportinggoods.com
411,DIDI US Equity,www.didiglobal.com
412,DLR US Equity,www.digitalrealty.com
413,CHDRY US Equity,www.dior-finance.com
414,DSCSY US Equity,www.disco.co.jp/
415,DFS US Equity,www.discover.com
416,DISH US Equity,www.dish.com
417,DLO US Equity,www.dlocal.com
418,DNBBY US Equity,www.dnb.no
419,DOCU US Equity,www.docusign.com
420,DLB US Equity,www.dolby.com
421,DG US Equity,www.dollargeneral.com
422,DLTR US Equity,www.dollartree.com
423,D US Equity,www.dominionenergy.com
424,DPZ US Equity,www.dominos.com
425,DQJCY US Equity,www.donki.com
426,DASH US Equity,www.doordash.com
427,DOV US Equity,www.dovercorporation.com
